"","Date","Time","Location","Operator","Flight..","Route","AC.Type","Registration","cn.ln","Aboard","Aboard.Passangers","Aboard.Crew","Fatalities","Fatalities.Passangers","Fatalities.Crew","Ground","Summary","lng","lat"
"1","09/17/1908","17:18","Fort Myer, Virginia","Military - U.S. Army","","Demonstration","Wright Flyer III","","1","2","1","1","1","1","0","0","During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",-77.079827,38.8803422
"2","09/07/1909","","Juvisy-sur-Orge, France","","","Air show","Wright Byplane","SC1","","1","0","1","1","0","0","0","Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",2.3709,48.6929
"3","07/12/1912","06:30","Atlantic City, New Jersey","Military - U.S. Navy","","Test flight","Dirigible","","","5","0","5","5","0","5","0","First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",-74.422927,39.364283
"4","08/06/1913","","Victoria, British Columbia, Canada","Private","","","Curtiss seaplane","","","1","0","1","1","0","1","0","The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",-123.365644,48.428421
"5","09/09/1913","18:30","Over the North Sea","Military - German Navy","","","Zeppelin L-1 (airship)","","","20","NULL","NULL","14","NULL","NULL","0","The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.",3.515625,56.511018
